,MonthlyCharges,tenure,OnlineSecurity,TechSupport,Contract,PaymentMethod,Churn
0,0.4643746885899352,21,2,0,1,3,0
1,0.7867463876432487,54,0,0,2,0,0
2,0.05181863477827603,1,0,0,0,2,1
3,0.5176880916791231,4,0,0,0,2,1
4,0.4349775784753364,0,2,2,2,0,0
5,0.5112107623318386,7,0,0,0,2,0
6,0.006975585450921751,32,1,1,2,3,0
7,0.015445939212755359,72,1,1,2,1,0
8,0.21325361235675136,19,0,0,0,2,1
9,0.016940707523667137,10,1,1,1,0,0
10,0.5067264573991032,21,0,0,0,2,1
11,0.5161933233682112,45,2,2,0,2,0
12,0.015445939212755359,32,1,1,1,1,0
13,0.8719481813652217,40,2,0,1,0,0
14,0.2356751370204285,47,2,2,2,3,0
15,0.3472845042351769,36,2,2,2,3,0
16,0.8654708520179373,69,2,2,1,1,0
17,0.6223218734429498,71,0,2,2,1,0
18,0.06377678126557049,71,1,1,2,0,0
19,0.34778276033881417,35,2,0,1,1,0
20,0.36273044344793226,3,0,0,0,3,0
21,0.9113104135525659,72,0,2,2,1,0
22,0.7209765819631291,72,2,2,2,1,0
23,0.5455904334828102,68,2,0,1,1,0
24,0.3637269556552069,42,2,2,1,2,0
25,0.022421524663677108,21,1,1,1,0,0
26,0.7359242650722471,8,0,0,0,2,1
27,0.5685102142501246,10,2,0,0,2,0
28,0.8819133034379671,71,2,0,2,1,0
29,0.7279521674140508,46,0,0,1,0,0
30,0.615346287992028,3,0,2,0,2,0
31,0.7279521674140508,12,0,0,0,2,1
32,0.2949676133532636,26,2,0,1,0,0
33,0.31788739412057804,3,2,0,0,3,0
34,0.560039860488291,49,0,2,2,0,0
35,0.621325361235675,33,0,2,2,0,0
36,0.7588440458395617,42,2,0,0,2,0
37,0.5680119581464873,31,2,2,1,0,0
38,0.8858993522670653,68,0,2,1,1,0
39,0.9765819631290484,66,2,2,1,2,0
40,0.012954658694568992,58,1,1,1,2,0
41,0.018435475834578968,35,1,1,2,3,0
42,0.019431988041853504,1,1,1,0,0,0
43,0.5635276532137519,40,0,0,0,1,0
44,0.5774788241155955,13,2,2,0,2,0
45,0.3731938216243149,57,2,2,0,2,0
46,0.5685102142501246,1,0,0,0,2,1
47,0.27354260089686105,1,0,0,0,3,1
48,0.3597409068261087,46,0,2,2,1,1
49,0.7603388141504733,40,0,0,0,1,1
50,0.5904334828101645,21,2,2,1,3,1
51,0.7962132536123568,6,2,2,0,0,1
52,0.9252615844544094,59,2,2,2,3,0
53,0.4020926756352766,15,0,2,0,1,1
54,0.7603388141504733,27,0,0,0,3,1
55,0.9770802192326856,71,2,2,1,0,0
56,0.7080219232685601,45,0,0,0,1,0
57,0.024414549078226183,4,1,1,0,3,0
58,0.013452914798206287,1,1,1,0,3,1
59,0.8081714000996512,47,0,0,0,2,1
60,0.314399601395117,34,0,0,0,2,0
61,0.3602391629297459,18,0,2,1,1,0
62,0.3587443946188341,8,2,2,1,0,0
63,0.17189835575485798,7,0,2,1,1,0
64,0.6601893373193822,5,2,0,0,2,1
65,0.4090682610861983,39,0,2,1,2,0
66,0.023916292974588915,29,1,1,0,3,0
67,0.3682112605879423,1,0,0,0,3,1
68,0.06726457399103139,31,0,0,0,1,0
69,0.06028898854010961,2,0,0,0,3,0
70,0.5236671649227703,63,2,2,1,1,0
71,0.6033881415047334,20,0,0,0,2,0
72,0.6482311908320877,71,0,2,2,1,0
73,0.4275037369207773,66,2,0,2,0,0
74,0.26806178375685097,8,0,0,0,3,1
75,0.7747882411559541,2,0,0,0,2,1
76,0.16791230692575984,3,2,2,0,3,0
77,0.01993024414549077,47,1,1,2,1,0
78,0.3089187842551071,2,0,0,0,2,1
79,0.5555555555555556,1,0,2,0,2,0
80,0.01993024414549077,7,1,1,1,3,0
81,0.8644743398106627,69,0,0,2,2,0
82,0.8674638764324862,5,0,0,0,2,0
83,0.013452914798206287,71,1,1,2,3,0
84,0.5585450921773791,1,0,0,0,1,1
85,0.711509715994021,14,0,2,0,1,1
86,0.010961634280019922,29,1,1,0,1,0
87,0.6332835077229696,56,0,2,2,1,0
88,0.7722969606377679,6,0,0,0,2,1
89,0.21873442949676133,1,0,0,0,2,1
90,0.72446437468859,46,0,2,1,0,0
91,0.8963627304434479,20,2,2,0,0,0
92,0.6731439960139511,20,0,0,0,1,1
93,0.5779770802192327,37,0,0,0,2,1
94,0.014449427005480797,24,1,1,2,3,0
95,0.7613353263577479,29,2,0,0,1,1
96,0.8584952665670156,21,2,0,0,0,1
97,0.8475336322869955,19,0,2,0,2,1
98,0.621325361235675,54,2,2,2,2,0
99,0.010463378176382654,2,1,1,1,1,1
100,0.8574987543597409,27,2,2,0,0,1
101,0.4235176880916791,46,2,2,2,0,0
102,0.01395117090184353,18,1,1,0,3,0
103,0.015944195316392632,52,1,1,2,3,0
104,0.3776781265570504,43,0,0,0,2,1
105,0.016940707523667137,3,1,1,0,3,0
106,0.2645739910313901,4,0,0,0,1,0
107,0.6507224713502741,6,0,0,0,1,1
108,0.8226208271051321,35,0,0,0,2,0
109,0.4190333831589437,68,0,2,2,1,0
110,0.7772795216741405,5,0,0,0,2,1
111,0.26258096661684105,3,0,0,0,2,0
112,0.5430991529646239,4,0,0,0,2,0
113,0.070254110612855,4,1,1,2,1,0
114,0.6123567513702043,2,0,0,0,0,1
115,0.9152964623816642,40,2,2,0,1,0
116,0.7658196312904832,10,0,2,0,1,0
117,0.6203288490284006,24,0,0,0,2,0
118,0.8883906327852518,72,2,2,2,0,0
119,0.807673143996014,24,0,0,0,1,1
120,0.6811160936721474,72,0,2,2,0,0
121,0.3383158943697061,1,0,2,0,2,1
122,0.6985550572994519,18,0,2,0,2,1
123,0.2172396611858495,4,0,2,0,2,0
124,0.7234678624813153,36,2,0,0,2,1
125,0.5680119581464873,11,0,0,0,2,0
126,0.5112107623318386,1,0,0,0,2,1
127,0.6143497757847535,42,0,0,0,2,0
128,0.6686596910812157,16,0,0,0,1,1
129,0.957648231190832,50,2,2,1,1,0
130,0.06327852516193325,1,0,0,0,2,1
131,0.016940707523667137,38,1,1,2,3,0
132,0.6138515196811161,24,2,0,0,2,0
133,0.4130543099152965,31,0,0,0,0,0
134,0.011958146487294458,8,1,1,0,0,0
135,0.8898854010961634,43,0,2,1,2,1
136,0.5191828599900349,57,2,2,2,1,0
137,0.02590931738913801,13,1,1,2,3,0
138,0.7110114598903836,40,0,2,1,1,0
139,0.01395117090184353,23,1,1,1,3,0
140,0.6512207274539112,72,2,0,2,1,0
141,0.6576980568011959,55,2,0,1,1,0
142,0.9287493771798704,48,2,0,0,0,0
143,0.5650224215246638,1,0,0,0,2,1
