,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,0,0,0,1,21,1,0,0,2,0,2,0,0,2,1,0,3,0.46437468858993514,0.15208862220170782,0
1,0,0,0,0,54,1,2,1,0,2,0,0,2,2,2,1,0,0.7867463876432487,0.5897357489037618,0
2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,0.05181863477827603,0.0005365797369028384,1
3,1,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,2,0.5176880916791231,0.025288483729517655,1
4,1,0,0,1,0,1,2,0,2,2,0,2,0,0,2,1,0,0.43497757847533636,0.16062774059543042,0
5,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,1,2,0.5112107623318386,0.057990999307639055,0
6,1,0,1,1,32,1,0,2,1,1,1,1,1,1,2,0,3,0.006975585450921751,0.06867643664897301,0
7,1,0,1,1,72,1,0,2,1,1,1,1,1,1,2,1,1,0.01544593921275536,0.16107200553888762,0
8,1,0,0,0,19,0,1,0,0,0,2,0,2,0,0,1,2,0.21325361235675136,0.08245441957073622,1
9,1,0,0,1,10,1,0,2,1,1,1,1,1,1,1,1,0,0.016940707523667137,0.023159473805677358,0
10,1,1,1,0,21,1,0,1,0,0,0,0,0,0,0,1,2,0.5067264573991032,0.16800715439649205,1
11,0,1,0,0,45,1,2,0,2,0,0,2,0,2,0,1,2,0.5161933233682112,0.3512174013385645,0
12,1,1,0,0,32,1,0,2,1,1,1,1,1,1,1,0,1,0.01544593921275536,0.06564735748903763,0
13,0,0,1,0,40,1,2,1,2,0,2,0,2,2,1,0,0,0.8719481813652217,0.48577775213477964,0
14,0,0,0,0,47,0,1,0,2,0,2,2,0,0,2,0,3,0.2356751370204285,0.2142222478652204,0
15,0,0,0,0,36,0,1,0,2,2,2,2,0,2,2,1,3,0.34728450423517687,0.21722247865220404,0
16,0,0,1,1,69,1,2,1,2,2,2,2,2,0,1,1,1,0.8654708520179373,0.83267943687976,0
17,0,0,1,0,71,1,0,0,0,2,2,2,2,2,2,1,1,0.6223218734429498,0.6561562427879067,0
18,0,0,1,0,71,1,2,2,1,1,1,1,1,1,2,1,0,0.06377678126557049,0.19517078236787447,0
19,1,0,1,0,35,0,1,0,2,0,2,0,2,2,1,0,1,0.34778276033881417,0.22064389568428344,0
20,1,0,0,0,3,1,0,0,0,0,0,0,0,2,0,0,3,0.36273044344793226,0.019651511654742673,0
21,1,1,1,0,72,1,2,1,0,2,2,2,2,2,2,0,1,0.911310413552566,0.9092603277175167,0
22,1,0,1,1,72,1,2,0,2,2,2,2,2,2,2,1,1,0.720976581963129,0.7411781675513501,0
23,0,0,1,1,68,1,2,0,2,2,2,0,2,0,1,1,1,0.5455904334828102,0.5936072005538887,0
24,0,0,0,0,42,0,1,0,2,2,2,2,0,2,1,1,2,0.36372695565520685,0.26882644818832213,0
25,1,1,0,0,21,1,0,2,1,1,1,1,1,1,1,0,0,0.02242152466367711,0.047397876759750754,0
26,0,1,0,0,8,1,0,1,0,0,2,0,2,2,0,1,2,0.7359242650722471,0.0820620816985922,1
27,1,1,1,0,10,1,0,1,2,0,0,0,0,0,0,0,2,0.5685102142501246,0.08096584352642512,0
28,0,0,0,0,71,1,2,1,2,2,2,0,2,2,2,1,1,0.8819133034379671,0.8382702515578122,0
29,0,1,0,0,46,1,0,1,0,2,2,0,2,0,1,1,0,0.7279521674140508,0.4739845372720979,0
30,0,0,1,1,3,1,0,1,0,2,0,2,0,0,0,1,2,0.615346287992028,0.025675051927071313,0
31,0,1,0,0,12,1,2,1,0,2,0,0,2,0,0,1,2,0.7279521674140508,0.12412877913685669,1
32,0,0,1,0,26,0,1,0,2,2,2,0,2,0,1,0,0,0.2949676133532636,0.13520655435033466,0
33,1,0,0,0,3,1,0,0,2,0,0,0,0,0,0,1,3,0.317887394120578,0.016391645511193167,0
34,0,0,0,0,49,1,0,0,0,0,2,2,2,2,2,1,0,0.560039860488291,0.4273136395107316,0
35,1,0,0,0,33,1,0,1,0,2,0,2,0,0,2,0,0,0.621325361235675,0.3037502884837295,0
36,1,0,1,0,42,1,2,1,2,0,2,0,0,2,0,1,2,0.7588440458395617,0.46108931456265867,0
37,1,0,1,1,31,1,2,0,2,2,0,2,0,2,1,1,0,0.5680119581464873,0.26837064389568427,0
38,1,1,1,1,68,1,2,1,0,0,2,2,2,2,1,1,1,0.8858993522670653,0.849411493191784,0
39,1,1,1,1,66,1,2,1,2,2,2,2,2,2,1,1,2,0.9765819631290484,0.9050830833141011,0
40,1,0,1,1,58,1,0,2,1,1,1,1,1,1,1,1,2,0.012954658694568993,0.12577890606969766,0
41,1,0,1,1,35,1,0,2,1,1,1,1,1,1,2,0,3,0.018435475834578968,0.07344795753519502,0
42,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,0,0.019431988041853504,0.0001615508885298867,0
43,0,0,0,0,40,1,0,1,0,2,0,0,0,0,0,0,1,0.5635276532137519,0.34074544195707357,0
44,0,0,1,0,13,1,2,0,2,2,0,2,2,0,0,1,2,0.5774788241155955,0.11108354488806832,0
45,1,0,1,0,57,1,0,0,2,0,0,2,0,0,0,0,2,0.3731938216243149,0.3638126009693053,0
46,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,2,0.5685102142501246,0.006519732287099007,1
47,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,0.273542600896861,0.0031040849296099706,1
48,0,0,0,0,46,1,0,0,0,0,2,2,0,0,2,0,1,0.3597409068261087,0.28171590122317103,1
49,0,1,1,1,40,1,2,1,0,0,0,0,2,2,0,1,1,0.7603388141504733,0.4179148396030464,1
50,1,0,1,1,21,1,2,0,2,2,0,2,2,0,1,0,3,0.5904334828101645,0.18534502654050314,1
51,0,0,0,0,6,1,0,1,2,2,2,2,0,2,0,1,0,0.7962132536123568,0.06331063927994462,1
52,1,0,1,1,59,1,2,1,2,2,0,2,2,2,2,1,3,0.9252615844544094,0.7542580198476806,0
53,1,0,0,0,15,1,2,0,0,2,0,2,0,0,0,1,1,0.4020926756352766,0.10626586660512348,1
54,0,0,0,0,27,1,2,1,0,0,0,0,2,2,0,1,3,0.7603388141504733,0.31223171013154855,1
